libtsan 16.1.1+r12+g301eb08fa2c5-1
libubsan 16.1.1+r12+g301eb08fa2c5-1
libultrahdr 1.4.0-2
libumem-git 1.0.r15.g3fc772c-5
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
liburcu 0.15.6-1
liburing 2.14-1
libusb 1.0.30-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.23.0-1
libva-intel-driver 2.4.1-7
libva-utils 2.23.0-1
libva-vdpau-driver 0.7.4-7
libvdpau 1.5-4
libverto 0.3.2-6
libvisio 0.1.11-1
libvlc 3.0.23_2-7
libvorbis 1.3.7-4
libvpl 2.16.0-2
libvpx 1.16.0-3
libvterm 0.3.3-2
libwacom 2.19.0-1
libwbclient 2:4.24.3-1
libwebp 1.6.0-2
libwireplumber 0.5.14-1
libwmf 0.2.15-1
libwpd 0.10.3-6
libwps 0.4.14-4
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-2
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxext 1.3.7-1
libxfce4util 4.20.1-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxml2 2.15.3-1
libxmlb 0.3.27-1
libxmu 1.3.1-1
libxpm 3.5.19-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-20
licenses 20240728-1
lilv 0.28.0-1
linux 7.0.12.arch1-1
linux-api-headers 7.1-1
linux-firmware 20260519-1
linux-firmware-amdgpu 20260519-1
linux-firmware-atheros 20260519-1
linux-firmware-broadcom 20260519-1
linux-firmware-cirrus 20260519-1
linux-firmware-intel 20260519-1
linux-firmware-mediatek 20260519-1
linux-firmware-nvidia 20260519-1
linux-firmware-other 20260519-1
linux-firmware-radeon 20260519-1
linux-firmware-realtek 20260519-1
linux-firmware-whence 20260519-1
linux-lts 6.18.35-1
linux-zen 7.0.12.zen1-1
litehtml0.9 0.9-2
lld 22.1.6-1
llhttp 9.3.1-1
llvm 22.1.6-1
llvm-libs 22.1.6-1
llvm21 21.1.8-1
llvm21-libs 21.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsearch 3.11.1-1
log4cplus 2.1.2-1
loupe 50.0-1
lpsolve 5.5.2.14-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.6-1
lua 5.5.0-2
lua51 5.1.5-13
lua51-lpeg 1.1.0-5
lua54 5.4.8-6
luajit 2.1.1780076327+b925b3e-1
lv2 1.18.10-2
lvm2 2.03.41-1
ly 1.4.1-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
magickcache-git 0.9.2.1.r129.g57878e7-1
mailcap 2.1.54-2
make 4.4.1-3
manifold 3.4.1-1
materialx 1.39.4-5
matugen 4.1.0-1
mbedtls 3.6.5-1
mbedtls2 2.28.10-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.1.2-2
meson 1.11.1-3
ming 0.4.8.r68.g04aee523-8
miniupnpc 2.3.3-3
minizip 1:1.3.2-3
minizip-ng 4.2.1-1
mkinitcpio 41-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.5-1
mpv 1:0.41.0-3
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mujs 1.3.9-1
muparser 2.3.5-2
mypaint-brushes 2.0.2-2
mypaint-brushes1 1.3.1-2
mypy 2.1.0-2
nano 9.0-1
nanobind 2.12.0-3
nasm 3.01-1
nautilus 50.2.2-1
ncurses 6.6-2
neon 0.37.1-1
neovim 0.12.3-1
net-snmp 5.9.5.2-1
netpbm 10.86.49-3
nettle 4.0-1
network-manager-applet 1.36.0-2
networkmanager 1.56.1-1
nftables 1:1.1.6-3
ninja 1.13.2-3
nlohmann-json 3.12.0-2
nm-connection-editor 1.36.0-2
node-gyp 13.0.0-1
nodejs 26.2.0-1
nodejs-nopt 10.0.1-1
noto-fonts 1:2026.06.01-1
noto-fonts-emoji 1:2.051-1
npm 11.16.0-1
npth 1.8-1
nspr 4.39-1
nss 3.125-1
nss-mdns 0.15.1-2
nvidia-utils 610.43.02-2
nvm 0.40.5-1
nwg-displays 0.4.3-1
nwg-dock-hyprland 0.4.11-1
nwg-look 1.1.1-3
obs-plugin-input-overlay-bin 5.1.0-1
obs-studio 32.1.2-5
ocl-icd 2.3.4-1
onetbb 2023.0.0-1
oniguruma 6.9.10-1
onnxruntime-cpu 1.24.4-8
openal 1.25.2-1
openbsd-netcat 1.238_1-1
opencl-headers 2:2025.07.22-1
opencolorio 2.5.1-1
opencore-amr 0.1.6-2
openexr 3.4.12-2
openh264 2.6.0-2
openimagedenoise 2.4.1-2
openimageio 3.1.12.1-2
openjpeg2 2.5.4-1
openjph 0.28.1-1
openpgl 0.7.1-1
openshadinglanguage 1.15.3.0-1
openssh 10.3p1-1
openssl 3.6.3-1
opensubdiv 3.7.0-1
openvdb 13.0.0-1
openxr 1.1.60-1
opus 1.6.1-1
orc 0.4.42-1
osinfo-db 20251212-1
ostree 2025.7-3
otf-atkinsonhyperlegiblemono-nerd 3.4.0-2
otf-aurulent-nerd 3.4.0-2
otf-codenewroman-nerd 3.4.0-2
otf-comicshanns-nerd 3.4.0-2
otf-commit-mono-nerd 3.4.0-2
otf-droid-nerd 3.4.0-2
otf-firamono-nerd 3.4.0-2
otf-font-awesome 7.2.0-1
otf-geist-mono-nerd 3.4.0-2
otf-hasklig-nerd 3.4.0-2
otf-hermit-nerd 3.4.0-2
otf-monaspace-nerd 3.4.0-2
otf-opendyslexic-nerd 3.4.0-2
otf-overpass-nerd 3.4.0-2
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260610-1
pam 1.7.2-2
pambase 20260614-1
pango 1:1.57.1-1
pangomm 2.46.4-3
pangomm-2.48 2.56.1-2
parallel 20260522-1
parted 3.7-1
paru 2.1.0-2
paru-debug 2.1.0-2
patch 2.8-1
patchelf 0.18.0-4
pavucontrol 1:6.2-1
pciutils 3.15.0-1
